k	unsat	unknown
0	8	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
6	8	0
7	8	0
8	8	0
9	8	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	0
18	8	0
19	8	0
20	8	0
21	8	0
22	8	0
23	8	0
24	8	0
25	8	0
26	8	0
27	8	0
28	8	0
29	8	0
30	8	0
31	8	0
32	8	0
33	8	0
34	8	0
35	8	0
36	8	0
37	8	0
38	8	0
39	8	0
40	8	0
41	8	0
42	8	0
43	8	0
44	8	0
45	8	0
46	8	0
47	8	0
48	8	0
49	8	0
50	8	0
51	8	0
52	8	0
53	8	0
54	8	0
55	8	0
56	8	0
57	8	0
58	8	0
59	8	0
60	8	0
61	8	0
62	8	0
63	8	0
64	8	0
65	8	0
66	8	0
67	8	0
68	8	0
69	8	0
70	8	0
71	8	0
72	7	1
73	7	1
74	7	1
75	7	1
76	7	1
77	7	1
78	7	1
79	7	1
80	7	1
81	7	1
82	7	1
83	7	1
84	7	1
85	7	1
86	7	1
87	7	1
88	7	1
89	7	1
90	7	1
91	7	1
92	7	1
93	7	1
94	7	1
95	7	1
96	7	1
97	7	1
98	7	1
99	7	1
100	7	1
101	7	1
102	7	1
103	7	1
104	7	1
105	7	1
106	7	1
107	7	1
108	7	1
109	7	1
110	7	1
111	7	1
112	7	1
113	7	1
114	7	1
115	7	1
116	7	1
117	7	1
118	7	1
119	7	1
120	7	1
121	7	1
122	7	1
123	7	1
124	7	1
125	7	1
126	7	1
127	7	1
128	7	1
129	7	1
130	7	1
131	7	1
132	7	1
133	7	1
134	7	1
135	7	1
136	7	1
137	7	1
138	7	1
139	7	1
140	7	1
141	7	1
142	7	1
143	7	1
144	7	1
145	7	1
146	7	1
147	7	1
148	7	1
149	7	1
150	7	1
151	7	1
152	7	1
153	7	1
154	7	1
155	7	1
156	7	1
157	7	1
158	7	1
159	7	1
160	7	1
161	7	1
162	7	1
163	7	1
164	7	1
165	7	1
166	7	1
167	7	1
168	7	1
169	7	1
170	7	1
171	7	1
172	7	1
173	7	1
174	7	1
175	7	1
176	7	1
177	7	1
178	7	1
179	7	1
180	7	1
