k	target_result	target_rlimit
0	unsat	612369
1	unsat	612369
2	unsat	612369
3	unsat	612369
4	unsat	612369
5	unsat	612369
6	unsat	612369
7	unsat	612369
8	unsat	612369
9	unsat	612369
10	unsat	612369
11	unsat	612369
12	unsat	612369
13	unsat	612369
14	unsat	612369
15	unsat	612369
16	unsat	612369
17	unsat	612369
18	unsat	612369
19	unsat	612369
20	unsat	612369
21	unsat	612369
22	unknown	992527
23	unsat	644875
24	unsat	644875
25	unsat	644875
26	unsat	644875
27	unsat	644875
28	unsat	644875
29	unsat	644875
30	unsat	644875
31	unsat	644875
32	unsat	644875
33	unsat	644875
34	unsat	644875
35	unsat	644875
36	unsat	644875
37	unsat	644875
38	unsat	644875
39	unsat	644875
40	unsat	644875
41	unsat	644875
42	unsat	644875
43	unsat	644875
44	unsat	644875
45	unsat	644875
46	unsat	644875
47	unsat	644875
48	unsat	644875
49	unsat	644887
50	unsat	644887
51	unsat	644887
52	unsat	644887
53	unsat	644887
54	unsat	644887
55	unsat	644887
56	unsat	644887
57	unsat	644887
58	unsat	644887
59	unsat	644887
60	unsat	644887
61	unsat	644887
62	unsat	644887
63	unsat	644887
64	unsat	644887
65	unsat	644887
66	unsat	644887
67	unsat	644887
68	unsat	644887
69	unsat	644887
70	unsat	644887
71	unsat	644887
72	unsat	644887
73	unsat	644887
74	unsat	644887
75	unsat	644887
76	unsat	644887
77	unsat	644887
78	unsat	644887
79	unsat	644887
80	unsat	644887
81	unsat	644887
82	unsat	644887
83	unsat	644887
84	unsat	644887
85	unsat	644887
86	unsat	644887
87	unsat	644887
88	unsat	644887
89	unsat	644887
90	unsat	644887
91	unsat	644887
92	unsat	644887
93	unsat	644887
94	unsat	644887
95	unsat	644887
96	unsat	644887
97	unsat	644887
98	unsat	644887
99	unsat	644887
100	unsat	644887
101	unsat	644887
102	unsat	644887
103	unsat	644887
104	unsat	644885
105	unsat	644885
106	unsat	644885
107	unsat	644879
108	unsat	658547
109	unsat	658547
110	unsat	658547
111	unsat	658547
112	unsat	658547
113	unsat	658547
114	unsat	658547
115	unsat	658547
116	unsat	658547
117	unsat	658547
118	unsat	658547
119	unsat	658547
120	unsat	658547
121	unsat	658547
122	unsat	658547
123	unsat	658547
124	unsat	658547
125	unsat	658547
126	unsat	658547
127	unsat	658547
128	unsat	658547
129	unsat	658547
130	unsat	658547
131	unsat	658547
132	unsat	658547
133	unsat	658547
134	unsat	658547
135	unsat	658547
136	unsat	658547
137	unsat	658547
138	unsat	658547
139	unsat	658547
140	unsat	658547
141	unsat	658547
142	unsat	658547
143	unsat	658547
