config	smt.random_seed	target_result	target_rlimit
iso	0	unsat	612369
iso	1	unknown	980040
iso	2	unsat	742219
iso	3	unknown	963898
iso	4	unknown	977664
iso	5	unsat	723986
iso	6	unknown	772599
iso	7	unsat	774994
iso	8	unknown	921391
iso	9	unsat	642380
iso	10	unknown	875667
iso	11	unknown	881524
iso	12	unsat	606526
iso	13	unknown	1054053
iso	14	unknown	901637
iso	15	unknown	719578
full-clean	0	unknown	916388
full-clean	1	unknown	854476
full-clean	2	unsat	749710
full-clean	3	unknown	753383
full-clean	4	unsat	703465
full-clean	5	unsat	728479
full-clean	6	unknown	796930
full-clean	7	unknown	750031
full-clean	8	unknown	879616
full-clean	9	unknown	902732
full-clean	10	unsat	677380
full-clean	11	unknown	1080472
full-clean	12	unsat	625873
full-clean	13	unknown	770377
full-clean	14	unknown	824958
full-clean	15	unknown	842793
