    Spec/   Proof/    Exec/    Rust File
--------------------------------------------
       0/       0/       0/      26 benches/Chap03/BenchInsertionSortStEph.rs
      21/      35/      31/       9 src/Chap02/FibonacciHFScheduler.rs
      19/       0/      65/      67 src/Chap02/HFSchedulerMtEph.rs
      13/      24/      49/       7 src/Chap03/InsertionSortStEph.rs
      60/      36/      39/      15 src/Chap05/KleeneStPer.rs
     149/     102/     149/      41 src/Chap05/MappingStEph.rs
      97/      37/      84/      32 src/Chap05/RelationStEph.rs
     214/     111/     541/      68 src/Chap05/SetMtEph.rs
     193/      70/     408/      44 src/Chap05/SetStEph.rs
     385/      93/     352/      64 src/Chap06/DirGraphMtEph.rs
     153/     113/     236/      51 src/Chap06/DirGraphStEph.rs
     226/     127/     289/      59 src/Chap06/LabDirGraphMtEph.rs
     120/      59/     217/      43 src/Chap06/LabDirGraphStEph.rs
     199/     140/     280/      70 src/Chap06/LabUnDirGraphMtEph.rs
     119/      62/     181/      54 src/Chap06/LabUnDirGraphStEph.rs
     234/      50/     221/      64 src/Chap06/UnDirGraphMtEph.rs
     134/      56/     121/      52 src/Chap06/UnDirGraphStEph.rs
      26/      47/     146/      23 src/Chap06/WeightedDirGraphStEphF64.rs
      38/      91/     246/      23 src/Chap06/WeightedDirGraphStEphI128.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI16.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI32.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI64.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphI8.rs
      38/      89/     241/      23 src/Chap06/WeightedDirGraphStEphIsize.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU128.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU16.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU32.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU64.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphU8.rs
      38/      90/     241/      23 src/Chap06/WeightedDirGraphStEphUsize.rs
       2/       8/      83/       8 src/Chap11/FibonacciMtEph2Threads.rs
       3/       8/      87/       6 src/Chap11/FibonacciMtEphRecomputes.rs
       5/       1/      25/       7 src/Chap11/FibonacciMtPerAllThreads.rs
       3/       8/      85/       6 src/Chap11/FibonacciMtPerTSM.rs
      26/      28/      43/      10 src/Chap11/FibonacciStEph.rs
       7/       0/      50/      17 src/Chap12/Exercise12_1.rs
       0/       0/      12/       4 src/Chap12/Exercise12_2.rs
       6/       0/      60/      25 src/Chap12/Exercise12_5.rs
