    Spec/   Proof/    Exec/    Rust File
--------------------------------------------
       0/       0/       0/      24 apas-ai/benches/Chap03/BenchInsertionSortStEph.rs
       0/       0/       0/      76 apas-ai/benches/Chap05/BenchMappingStEph.rs
       0/       0/       0/      71 apas-ai/benches/Chap05/BenchRelationStEph.rs
       0/       0/       0/      70 apas-ai/benches/Chap05/BenchSetStEph.rs
       0/       0/       0/      81 apas-ai/benches/Chap06/BenchDirGraphStEph.rs
       0/       0/       0/     222 apas-ai/benches/Chap06/BenchLabDirGraphStEph.rs
       0/       0/       0/     214 apas-ai/benches/Chap06/BenchLabUnDirGraphStEph.rs
       0/       0/       0/      30 apas-ai/benches/Chap06/BenchUnDirGraphStEph.rs
       0/       0/       0/      55 apas-ai/benches/Chap06/BenchWeightedDirGraphMtEphFloat.rs
       0/       0/       0/      55 apas-ai/benches/Chap06/BenchWeightedDirGraphMtEphInt.rs
       0/       0/       0/      33 apas-ai/benches/Chap06/BenchWeightedDirGraphStEphFloat.rs
       0/       0/       0/      33 apas-ai/benches/Chap06/BenchWeightedDirGraphStEphInt.rs
       0/       0/       0/      33 apas-ai/benches/Chap06/BenchWeightedUnDirGraphMtEphFloat.rs
       0/       0/       0/      33 apas-ai/benches/Chap06/BenchWeightedUnDirGraphMtEphInt.rs
       0/       0/       0/      33 apas-ai/benches/Chap06/BenchWeightedUnDirGraphStEphFloat.rs
       0/       0/       0/      33 apas-ai/benches/Chap06/BenchWeightedUnDirGraphStEphInt.rs
       0/       0/       0/      17 apas-ai/benches/Chap11/BenchFibonacciMtPer.rs
       0/       0/       0/      37 apas-ai/benches/Chap12/BenchExercise12_1.rs
       0/       0/       0/      38 apas-ai/benches/Chap12/BenchExercise12_2.rs
       0/       0/       0/      47 apas-ai/benches/Chap12/BenchExercise12_5.rs
       0/       0/       0/      77 apas-ai/benches/Chap17/BenchMathSeq.rs
       0/       0/       0/      63 apas-ai/benches/Chap18/BenchArraySeq.rs
       0/       0/       0/      52 apas-ai/benches/Chap18/BenchArraySeqMtEph.rs
       0/       0/       0/      80 apas-ai/benches/Chap18/BenchArraySeqMtEphChap18.rs
       0/       0/       0/      79 apas-ai/benches/Chap18/BenchArraySeqStEphChap18.rs
       0/       0/       0/      24 apas-ai/benches/Chap18/BenchLinkedListStEph.rs
       0/       0/       0/      24 apas-ai/benches/Chap18/BenchLinkedListStEphChap18.rs
       0/       0/       0/      28 apas-ai/benches/Chap18/BenchLinkedListStPer.rs
       0/       0/       0/      22 apas-ai/benches/Chap18/BenchLinkedListStPerChap18.rs
       0/       0/       0/      22 apas-ai/benches/Chap19/BenchArraySeqStEphChap19.rs
       0/       0/       0/      24 apas-ai/benches/Chap19/BenchArraySeqStPerChap19.rs
       0/       0/       0/      38 apas-ai/benches/Chap23/BenchBalBinTreeStEph.rs
       0/       0/       0/      40 apas-ai/benches/Chap23/BenchPrimTreeSeqStPer.rs
       0/       0/       0/      37 apas-ai/benches/Chap26/BenchChapter26Mt.rs
