warning: Verus does not (yet) support autoderive Clone impl when the clone is not a copy; continuing, but without adding a specification for the derived Clone impl
  --> src/Chap65/PrimStEph.rs:37:14
   |
37 |     #[derive(Clone, PartialEq, Eq)]
   |              ^^^^^

    Finished `release` profile [optimized] target(s) in 0.07s
────────────
 Nextest run ID d210d7fc-a8dc-4a72-abe8-38965acf17fe with nextest profile: default
    Starting 157 tests across 37 binaries
        PASS [   2.394s] rust_verify_test::HashMapWithViewPlus hash_map_wvp_loop_loop
        PASS [   2.550s] rust_verify_test::HashMapWithViewPlus hash_map_wvp_for_iter
        PASS [   2.566s] rust_verify_test::HashSetWithViewPlus hash_set_wvp_loop_loop
        PASS [   2.653s] rust_verify_test::HashSetWithViewPlus hash_set_wvp_for_iter
        PASS [   2.758s] rust_verify_test::MappingStEph mapping_st_eph_loop_loop
        PASS [   2.807s] rust_verify_test::MappingStEph mapping_st_eph_for_iter
        PASS [   2.141s] rust_verify_test::ProveAVLTreeSeq avltreeseq_loop_borrow_iter
        PASS [   2.045s] rust_verify_test::ProveArraySeq arrayseq_filter
        PASS [   2.095s] rust_verify_test::ProveAVLTreeSetMtEph avltreesetmteph_loop_borrow_iter
        PASS [   2.336s] rust_verify_test::ProveAVLTreeSetMtEph avltreesetmteph_for_borrow_into
        PASS [   2.515s] rust_verify_test::ProveAVLTreeSeq avltreeseq_for_borrow_iter
        PASS [   2.304s] rust_verify_test::ProveAVLTreeSetMtEph avltreesetmteph_for_borrow_iter
        PASS [   2.046s] rust_verify_test::ProveArraySeq arrayseq_iterate
        PASS [   2.040s] rust_verify_test::ProveArraySeq arrayseq_map
        PASS [   2.288s] rust_verify_test::ProveArraySeq arrayseq_for_iter
        PASS [   2.171s] rust_verify_test::ProveArraySeq arrayseq_iterate_prefixes
        PASS [   2.127s] rust_verify_test::ProveArraySeq arrayseq_loop_loop
        PASS [   2.385s] rust_verify_test::ProveArraySeq arrayseq_reduce
        PASS [   1.940s] rust_verify_test::ProveArraySeqMtEph arrayseqmteph_for_iter
        PASS [   2.031s] rust_verify_test::ProveArraySeqMtEph arrayseqmteph_loop_loop
        PASS [   2.257s] rust_verify_test::ProveArraySeq arrayseq_scan
        PASS [   2.187s] rust_verify_test::ProveArraySeq arrayseq_tabulate
        PASS [   2.449s] rust_verify_test::ProveArraySeq arrayseq_scan_inclusive
        PASS [   2.169s] rust_verify_test::ProveArraySeqMtPer arrayseqmtper_for_iter
        PASS [   1.973s] rust_verify_test::ProveArraySeqMtPer arrayseqmtper_loop_loop
        PASS [   2.170s] rust_verify_test::ProveArraySeqStEph arrayseqsteph_for_borrow_into
        PASS [   2.134s] rust_verify_test::ProveArraySeqStEph arrayseqsteph_for_borrow_iter
        PASS [   2.238s] rust_verify_test::ProveArraySeqStEph arrayseqsteph_for_consume
        PASS [   2.130s] rust_verify_test::ProveArraySeqStEph arrayseqsteph_loop_borrow_iter
        PASS [   2.270s] rust_verify_test::ProveArraySeqStEph arrayseqsteph_loop_borrow_into
        PASS [   2.152s] rust_verify_test::ProveArraySeqStEph arrayseqsteph_loop_consume
        PASS [   2.131s] rust_verify_test::ProveBFSMtEph chap54_bfsmteph_bottom_up_loop
