BSTRBStEph seed 1 logs/validate.20260925-100952.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 2 logs/validate.20260925-101005.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 3 logs/validate.20260925-101017.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 4 logs/validate.20260925-101029.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 5 logs/validate.20260925-101041.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 6 logs/validate.20260925-101054.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 7 logs/validate.20260925-101107.log: verification results:: 80 verified, 0 errors
BSTRBStEph seed 8 logs/validate.20260925-101120.log: verification results:: 80 verified, 0 errors
BSTRBMtEph seed 1 logs/validate.20260925-101132.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 2 logs/validate.20260925-101145.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 3 logs/validate.20260925-101158.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 4 logs/validate.20260925-101210.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 5 logs/validate.20260925-101223.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 6 logs/validate.20260925-101238.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 7 logs/validate.20260925-101251.log: verification results:: 95 verified, 0 errors
BSTRBMtEph seed 8 logs/validate.20260925-101304.log: verification results:: 95 verified, 0 errors
