src/Chap66/BoruvkaStEph.rs:99:    /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(1), Span O(1) — single XOR + mask.
src/Chap66/BoruvkaStEph.rs:126:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(|E|), Span O(|E|) — single pass over edges; St sequential.
src/Chap66/BoruvkaStEph.rs:137:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(|V|), Span O(|V|) — single pass over vertices with coin flips; St sequential.
src/Chap66/BoruvkaStEph.rs:151:        /// - Alg Analysis: APAS (Ch66 Alg 66.1): Work O(m lg n), Span O(lg^3 n)
src/Chap66/BoruvkaStEph.rs:152:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(m lg n), Span O(m lg n) — ACCEPTED DIFFERENCE: sequential, span = work
src/Chap66/BoruvkaStEph.rs:172:        /// - Alg Analysis: APAS (Ch66 Alg 66.1): Work O(m lg n), Span O(lg^3 n)
src/Chap66/BoruvkaStEph.rs:173:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(m lg n), Span O(lg^3 n)
src/Chap66/BoruvkaStEph.rs:174:        /// - Alg Analysis: APAS (Ch66 Alg 66.3): Work O(m lg n), Span O(lg^2 n)
src/Chap66/BoruvkaStEph.rs:175:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(m lg n), Span O(m lg n) — ACCEPTED DIFFERENCE: sequential, span = work
src/Chap66/BoruvkaStEph.rs:193:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(m), Span O(m) — iterates over edges filtering by labels; St sequential.
src/Chap66/BoruvkaStEph.rs:212:        /// - Alg Analysis: APAS (Ch66 Alg 66.3): Work O(m), Span O(log m)
src/Chap66/BoruvkaStEph.rs:213:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(m) — ACCEPTED DIFFERENCE: St sequential, APAS parallel
src/Chap66/BoruvkaStEph.rs:273:        /// - Alg Analysis: APAS (Ch66 Alg 66.3): Work O(n), Span O(log n)
src/Chap66/BoruvkaStEph.rs:274:        /// - Alg Analysis: Code review (Claude Opus 4.6): Work O(n) — ACCEPTED DIFFERENCE: St sequential, APAS parallel
src/Chap66/BoruvkaStEph.rs:345:        /// - Alg Analysis: APAS (Ch66 Alg 66.3): Work O(m log n), Span O(log^2 n)
